Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2023-02-28,7667.6171875,7689.524665178572,7601.894754464286,7689.524665178572,106349400
2023-03-01,7536.17236328125,7667.6172300826665,7536.17236328125,7645.709752282431,67034700
2023-03-02,7558.08056640625,7623.803006114131,7536.173086503623,7536.173086503623,56672000
2023-03-03,7426.63525390625,7601.895082906987,7426.63525390625,7579.987604281895,95376900
2023-03-06,7360.9130859375,7492.357962472098,7360.9130859375,7492.357962472098,92652000
2023-03-07,7382.82080078125,7426.635761023275,7317.098360418213,7317.098360418213,106115600
2023-03-08,7514.26513671875,7514.26513671875,7360.912786989796,7360.912786989796,79350900
2023-03-09,7514.26513671875,7579.9875723168725,7492.357658186042,7579.9875723168725,54201400
2023-03-10,7404.728515625,7492.358438886834,7404.728515625,7448.543477255917,59580100
2023-03-13,7492.357421875,7558.0798554002195,7404.727510508042,7404.727510508042,82077700
2023-03-14,7295.1904296875,7426.635302294481,7295.1904296875,7382.820344758821,90495300
2023-03-15,7295.1904296875,7426.635302294481,7295.1904296875,7404.727823526651,86747400
2023-03-16,7273.2822265625,7317.097179734564,7229.467273390437,7273.2822265625,105894000
2023-03-17,7339.0048828125,7404.72731459888,7295.189928288246,7339.0048828125,198558600
2023-03-20,7360.9130859375,7426.6355242047985,7339.005606515067,7360.9130859375,37277900
2023-03-21,7448.54296875,7448.54296875,7339.005572150735,7360.913051470588,91617400
2023-03-24,7733.34033203125,7733.34033203125,7558.080494478133,7623.802933560552,145603600
2023-03-27,7623.80224609375,7733.339634687051,7623.80224609375,7733.339634687051,110692800
2023-03-28,7601.89501953125,7711.432411743516,7601.89501953125,7711.432411743516,98296600
2023-03-29,7865.57080078125,7865.57080078125,7709.153199629351,7753.843942815607,101068200
2023-03-30,7887.91552734375,7954.951636641289,7865.570157577904,7954.951636641289,118912100
2023-03-31,7820.87890625,7910.2603794642855,7798.533537946429,7887.915011160714,97146900
2023-04-03,7865.57080078125,7887.916172374379,7820.880057594994,7887.916172374379,60288900
2023-04-04,7843.22412109375,7887.914856826478,7731.49728176193,7887.914856826478,60975800
2023-04-05,7798.533203125,7865.569305157594,7798.533203125,7843.223937813395,36922100
2023-04-06,7820.87890625,7843.224274553571,7776.188169642857,7776.188169642857,45489400
